Tileset_Name "Dirt"
    Line_TopLeftX "0"
    Line_TopLeftY "1664"
    Tile_SizeX "128"
    Tile_SizeY "128"
    Line_NumOfTiles "3"
    Line_Name "2"
    Line_TopLeftX "0"
    Line_TopLeftY "1856"
    Tile_SizeX "64"
    Tile_SizeY "64"
    Line_NumOfTiles "6"
    Line_Name "3"
    Line_TopLeftX "0"
    Line_TopLeftY "1952"
    Tile_SizeX "32"
    Tile_SizeY "32"
    Line_NumOfTiles "6"
